Date,Close
2021-04-02,0.057664
2021-04-03,0.055804
2021-04-04,0.057404
2021-04-05,0.059696
2021-04-06,0.064458
2021-04-07,0.059028
2021-04-08,0.061464
2021-04-09,0.061684
2021-04-10,0.063845
2021-04-11,0.074649
2021-04-12,0.070767
2021-04-13,0.093445
2021-04-14,0.121517
2021-04-15,0.182207
2021-04-16,0.36587
2021-04-17,0.284173
2021-04-18,0.320475
2021-04-19,0.407318
2021-04-20,0.3195
2021-04-21,0.306925
2021-04-22,0.260967
2021-04-23,0.248509
2021-04-24,0.270212
2021-04-25,0.251111
2021-04-26,0.270674
2021-04-27,0.272188
2021-04-28,0.323682
2021-04-29,0.305169
2021-04-30,0.337561
2021-05-01,0.392987
2021-05-02,0.376046
2021-05-03,0.441707
2021-05-04,0.541334
2021-05-05,0.657633
2021-05-06,0.580804
2021-05-07,0.684777
2021-05-08,0.636439
2021-05-09,0.57007
2021-05-10,0.449964
2021-05-11,0.495231
2021-05-12,0.385376
2021-05-13,0.490374
2021-05-14,0.559604
2021-05-15,0.507972
2021-05-16,0.514895
2021-05-17,0.487892
2021-05-18,0.476115
2021-05-19,0.333123
2021-05-20,0.400194
2021-05-21,0.359382
2021-05-22,0.342371
2021-05-23,0.308071
2021-05-24,0.366162
2021-05-25,0.346302
2021-05-26,0.353693
2021-05-27,0.332945
2021-05-28,0.311205
2021-05-29,0.30311
2021-05-30,0.302224
2021-05-31,0.32581
2021-06-01,0.370077
2021-06-02,0.423374
2021-06-03,0.399963
2021-06-04,0.376323
2021-06-05,0.372177
2021-06-06,0.371807
2021-06-07,0.33105
2021-06-08,0.327687
2021-06-09,0.343331
2021-06-10,0.326351
2021-06-11,0.319359
2021-06-12,0.312084
2021-06-13,0.324382
2021-06-14,0.332085
2021-06-15,0.328381
2021-06-16,0.307761
2021-06-17,0.306496
2021-06-18,0.293472
2021-06-19,0.287356
2021-06-20,0.2809
2021-06-21,0.178691
2021-06-22,0.191031
2021-06-23,0.232174
2021-06-24,0.262782
2021-06-25,0.239153
2021-06-26,0.244784
2021-06-27,0.26445
2021-06-28,0.256857
2021-06-29,0.262769
2021-06-30,0.254215
2021-07-01,0.244549
2021-07-02,0.245264
2021-07-03,0.246411
2021-07-04,0.246483
2021-07-05,0.231614
2021-07-06,0.234422
2021-07-07,0.224126
2021-07-08,0.207597
2021-07-09,0.219864
2021-07-10,0.21392
2021-07-11,0.215856
2021-07-12,0.208048
2021-07-13,0.200003
2021-07-14,0.197324
2021-07-15,0.184888
2021-07-16,0.172345
2021-07-17,0.186125
2021-07-18,0.182233
2021-07-19,0.173556
2021-07-20,0.170801
2021-07-21,0.190349
2021-07-22,0.191303
2021-07-23,0.194764
2021-07-24,0.197319
2021-07-25,0.197864
2021-07-26,0.204419
2021-07-27,0.205899
2021-07-28,0.205392
2021-07-29,0.204619
2021-07-30,0.208821
2021-07-31,0.208314
2021-08-01,0.204437
2021-08-02,0.2036
2021-08-03,0.195967
2021-08-04,0.20149
2021-08-05,0.200974
2021-08-06,0.204688
2021-08-07,0.260341
2021-08-08,0.240045
2021-08-09,0.256897
2021-08-10,0.257325
2021-08-11,0.265263
2021-08-12,0.263921
2021-08-13,0.286808
2021-08-14,0.293113
2021-08-15,0.341441
2021-08-16,0.320715
2021-08-17,0.299442
2021-08-18,0.303739
2021-08-19,0.317144
2021-08-20,0.327491
2021-08-21,0.316797
2021-08-22,0.314963
2021-08-23,0.317914
2021-08-24,0.288739
2021-08-25,0.292226
2021-08-26,0.268909
2021-08-27,0.294433
2021-08-28,0.285629
2021-08-29,0.281125
2021-08-30,0.272125
2021-08-31,0.278453
2021-09-01,0.294401
2021-09-02,0.295955
2021-09-03,0.296273
2021-09-04,0.299388
2021-09-05,0.314527
2021-09-06,0.308765
2021-09-07,0.253744
2021-09-08,0.257113
2021-09-09,0.252596
2021-09-10,0.239982
2021-09-11,0.241432
2021-09-12,0.250617
2021-09-13,0.235906
2021-09-14,0.240709
2021-09-15,0.247697
2021-09-16,0.242555
2021-09-17,0.23993
2021-09-18,0.241386
2021-09-19,0.233142
2021-09-20,0.207071
2021-09-21,0.201027
2021-09-22,0.224858
2021-09-23,0.224832
2021-09-24,0.209451
2021-09-25,0.20864
2021-09-26,0.204962
2021-09-27,0.200262
2021-09-28,0.196804
2021-09-29,0.198876
2021-09-30,0.204244
2021-10-01,0.22301
2021-10-02,0.219133
2021-10-03,0.221748
2021-10-04,0.240852
2021-10-05,0.252016
2021-10-06,0.255134
2021-10-07,0.242923
2021-10-08,0.243851
2021-10-09,0.246596
2021-10-10,0.229805
2021-10-11,0.231503
2021-10-12,0.226242
2021-10-13,0.232572
2021-10-14,0.232273
2021-10-15,0.233782
2021-10-16,0.237292
2021-10-17,0.237898
2021-10-18,0.247281
2021-10-19,0.245788
2021-10-20,0.254093
2021-10-21,0.242391
2021-10-22,0.244221
2021-10-23,0.251733
2021-10-24,0.277048
2021-10-25,0.264707
2021-10-26,0.255732
2021-10-27,0.23769
2021-10-28,0.300447
2021-10-29,0.287853
2021-10-30,0.268345
2021-10-31,0.280244
2021-11-01,0.271728
2021-11-02,0.273121
2021-11-03,0.269407
2021-11-04,0.26328
2021-11-05,0.261465
2021-11-06,0.261898
2021-11-07,0.266315
2021-11-08,0.282359
2021-11-09,0.273526
2021-11-10,0.255709
2021-11-11,0.261167
2021-11-12,0.259414
2021-11-13,0.261706
2021-11-14,0.262912
2021-11-15,0.256529
2021-11-16,0.237249
2021-11-17,0.237487
2021-11-18,0.221383
2021-11-19,0.23311
2021-11-20,0.233024
2021-11-21,0.226328
2021-11-22,0.219676
2021-11-23,0.226512
2021-11-24,0.221825
2021-11-25,0.216326
2021-11-26,0.200887
2021-11-27,0.205347
2021-11-28,0.207472
2021-11-29,0.215175
